#TYPE System.Management.Automation.PSCustomObject
"Time","Type","Message"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9655"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso505440"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500079"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9657"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso503510"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso503266"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9658"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso503552"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504341"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9659"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504399"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9659"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502234"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502631"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9660"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso503621"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9658"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso505143"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso505434"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9662"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504985"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9662"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso503250"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9654"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso505373"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9656"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504342"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9653"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso315959"
